Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
674 : 28 : 1
505 : 32 : 1
360 : 19 : 0
471 : 35 : 0
360 : 66 : 1
181 : 34 : 1
580 : 31 : 1
403 : 17 : 1
316 : 8 : 1
356 : 90 : 0
473 : 26 : 0
325 : 11 : 1
265 : 23 : 1
384 : 20 : 1
359 : 5 : 1
410 : 19 : 1
270 : 10 : 0
478 : 51 : 1
496 : 30 : 1
220 : 8 : 1
322 : 28 : 1
174 : 7 : 1
444 : 21 : 0
286 : 9 : 0
627 : 41 : 1
290 : 28 : 1
550 : 46 : 0
431 : 3 : 0
307 : 24 : 1
468 : 17 : 0
275 : 20 : 0
309 : 17 : 1
296 : 4 : 1
612 : 24 : 1
325 : 19 : 0
366 : 10 : 0
439 : 15 : 1
508 : 7 : 1
756 : 29 : 1
419 : 38 : 1
511 : 30 : 1
616 : 15 : 1
356 : 6 : 1
565 : 49 : 1
607 : 47 : 0
629 : 14 : 0
290 : 25 : 1
629 : 8 : 1
259 : 12 : 0
371 : 9 : 1
484 : 34 : 1
376 : 18 : 1
456 : 60 : 0
592 : 19 : 1
290 : 36 : 1
364 : 21 : 1
334 : 35 : 1
354 : 4 : 0
417 : 30 : 1
261 : 17 : 1
499 : 23 : 1
379 : 18 : 1
614 : 31 : 1
352 : 4 : 0
383 : 35 : 1
413 : 16 : 1
273 : 17 : 1
456 : 74 : 0
340 : 25 : 1
332 : 35 : 1
339 : 14 : 0
485 : 21 : 1
440 : 16 : 1
489 : 7 : 1
285 : 6 : 0
667 : 49 : 1
469 : 17 : 0
305 : 20 : 1
309 : 60 : 0
284 : 9 : 1
592 : 33 : 1
390 : 34 : 1
401 : 23 : 1
556 : 3 : 1
560 : 14 : 1
443 : 14 : 1
480 : 6 : 0
461 : 28 : 1
329 : 14 : 0
248 : 17 : 0
500 : 22 : 1
647 : 18 : 1
